       value	     chindex	     chlabel	        bini	     ERPset
1.765	49	         FC2	2	6
1.356	50	         FC6	2	6
1.567	51	          C2	2	6
1.557	52	          C6	2	6
1.804	53	         CP1	2	6
1.061	54	         CP5	2	6
1.682	55	          P1	2	6
0.208	56	          P5	2	6
-0.994	57	         PO3	2	6
-0.5	58	         PO7	2	6
1.64	59	         CP2	2	6
1.423	60	         CP6	2	6
1.141	61	          P2	2	6
1.541	62	          P6	2	6
-0.365	63	         PO4	2	6
1.006	64	         PO8	2	6
1.618	1	          Fz	1	7
1.973	2	         FCz	1	7
2.163	3	          Cz	1	7
2.432	4	         CPz	1	7
1.964	5	          Pz	1	7
0.278	6	          Oz	1	7
1.549	7	         FP1	1	7
1.363	8	          F3	1	7
1.337	9	          F7	1	7
1.926	10	         FC3	1	7
0.132	11	         FT7	1	7
2.009	12	          C3	1	7
1.291	13	         FP2	1	7
0.691	14	          F4	1	7
1.256	15	          F8	1	7
1.679	16	         FC4	1	7
0.439	17	         FT8	1	7
2.284	18	          C4	1	7
2.545	19	         CP3	1	7
0.976	20	         TP7	1	7
-0.554	21	          LM	1	7
2.12	22	          P3	1	7
0.564	23	          P7	1	7
0.746	24	          O1	1	7
1.966	25	         CP4	1	7
1.743	26	         TP8	1	7
0.554	27	          RM	1	7
1.871	28	          P4	1	7
0.688	29	          P8	1	7
0.796	30	          O2	1	7
-0.526	31	        HEOG	1	7
2.275	32	        VEOG	1	7
0.461	33	         NAZ	1	7
1.478	34	         FPz	1	7
0.844	35	         AFz	1	7
0.479	36	         POZ	1	7
1.264	37	         AF3	1	7
1.918	38	         AF7	1	7
1.629	39	          F1	1	7
1.881	40	          F5	1	7
1.986	41	         FC1	1	7
1.698	42	         FC5	1	7
2.375	43	          C1	1	7
2.178	44	          C5	1	7
1.291	45	         AF4	1	7
0.928	46	         AF8	1	7
1.43	47	          F2	1	7
1.072	48	          F6	1	7
1.971	49	         FC2	1	7
1.891	50	         FC6	1	7
2.25	51	          C2	1	7
0.39	52	          C6	1	7
2.518	53	         CP1	1	7
2.366	54	         CP5	1	7
2.268	55	          P1	1	7
1.342	56	          P5	1	7
1.296	57	         PO3	1	7
0.243	58	         PO7	1	7
2.32	59	         CP2	1	7
2.14	60	         CP6	1	7
1.935	61	          P2	1	7
1.865	62	          P6	1	7
-0.054	63	         PO4	1	7
0.113	64	         PO8	1	7
1.148	1	          Fz	2	7
1.185	2	         FCz	2	7
1.339	3	          Cz	2	7
1.497	4	         CPz	2	7
1.479	5	          Pz	2	7
0.072	6	          Oz	2	7
0.85	7	         FP1	2	7
1.049	8	          F3	2	7
0.67	9	          F7	2	7
1.381	10	         FC3	2	7
1.001	11	         FT7	2	7
1.576	12	          C3	2	7
0.95	13	         FP2	2	7
0.784	14	          F4	2	7
1.171	15	          F8	2	7
1.298	16	         FC4	2	7
1.622	17	         FT8	2	7
1.573	18	          C4	2	7
1.852	19	         CP3	2	7
1.064	20	         TP7	2	7
-0.47	21	          LM	2	7
1.77	22	          P3	2	7
0.942	23	          P7	2	7
0.433	24	          O1	2	7
1.493	25	         CP4	2	7
1.515	26	         TP8	2	7
0.47	27	          RM	2	7
1.247	28	          P4	2	7
0.869	29	          P8	2	7
0.051	30	          O2	2	7
1.812	31	        HEOG	2	7
0.782	32	        VEOG	2	7
-0.118	33	         NAZ	2	7
0.94	34	         FPz	2	7
0.681	35	         AFz	2	7
0.147	36	         POZ	2	7
0.79	37	         AF3	2	7
0.72	38	         AF7	2	7
1.105	39	          F1	2	7
1.103	40	          F5	2	7
1.291	41	         FC1	2	7
1.356	42	         FC5	2	7
1.478	43	          C1	2	7
1.625	44	          C5	2	7
1.09	45	         AF4	2	7
1.132	46	         AF8	2	7
1.153	47	          F2	2	7
0.938	48	          F6	2	7
1.261	49	         FC2	2	7
1.511	50	         FC6	2	7
1.341	51	          C2	2	7
1.047	52	          C6	2	7
1.735	53	         CP1	2	7
1.771	54	         CP5	2	7
1.621	55	          P1	2	7
1.605	56	          P5	2	7
0.916	57	         PO3	2	7
0.848	58	         PO7	2	7
1.528	59	         CP2	2	7
1.704	60	         CP6	2	7
1.293	61	          P2	2	7
1.424	62	          P6	2	7
-0.378	63	         PO4	2	7
0.085	64	         PO8	2	7
5.64	1	          Fz	1	8
5.122	2	         FCz	1	8
5.2	3	          Cz	1	8
5.066	4	         CPz	1	8
3.959	5	          Pz	1	8
2.363	6	          Oz	1	8
0.626	7	         FP1	1	8
3.863	8	          F3	1	8
1.911	9	          F7	1	8
4.925	10	         FC3	1	8
-1.295	11	         FT7	1	8
4.127	12	          C3	1	8
2.602	13	         FP2	1	8
4.505	14	          F4	1	8
1.594	15	          F8	1	8
4.122	16	         FC4	1	8
0.708	17	         FT8	1	8
3.27	18	          C4	1	8
4.492	19	         CP3	1	8
-0.71	20	         TP7	1	8
-0.351	21	          LM	1	8
2.989	22	          P3	1	8
-0.654	23	          P7	1	8
0.76	24	          O1	1	8
3.531	25	         CP4	1	8
-8.374	26	         TP8	1	8
0.351	27	          RM	1	8
2.421	28	          P4	1	8
3.821	29	          P8	1	8
1.457	30	          O2	1	8
-1.647	31	        HEOG	1	8
-5.232	32	        VEOG	1	8
-3.438	33	         NAZ	1	8
1.971	34	         FPz	1	8
4.472	35	         AFz	1	8
3.988	36	         POZ	1	8
4.06	37	         AF3	1	8
1.45	38	         AF7	1	8
5.253	39	          F1	1	8
-6.671	40	          F5	1	8
5.289	41	         FC1	1	8
2.904	42	         FC5	1	8
5.015	43	          C1	1	8
2.695	44	          C5	1	8
3.675	45	         AF4	1	8
2.828	46	         AF8	1	8
4.595	47	          F2	1	8
3.41	48	          F6	1	8
4.237	49	         FC2	1	8
2.39	50	         FC6	1	8
4.284	51	          C2	1	8
2.355	52	          C6	1	8
4.836	53	         CP1	1	8
2.913	54	         CP5	1	8
7.639	55	          P1	1	8
2.343	56	          P5	1	8
1.926	57	         PO3	1	8
0.105	58	         PO7	1	8
4.573	59	         CP2	1	8
1.057	60	         CP6	1	8
3.9	61	          P2	1	8
3.806	62	          P6	1	8
1.965	63	         PO4	1	8
-0.688	64	         PO8	1	8
2.099	1	          Fz	2	8
1.708	2	         FCz	2	8
1.582	3	          Cz	2	8
2.516	4	         CPz	2	8
2.513	5	          Pz	2	8
1.792	6	          Oz	2	8
0.142	7	         FP1	2	8
1.289	8	          F3	2	8
0.908	9	          F7	2	8
1.218	10	         FC3	2	8
-0.147	11	         FT7	2	8
1.62	12	          C3	2	8
0.506	13	         FP2	2	8
1.416	14	          F4	2	8
0.677	15	          F8	2	8
1.599	16	         FC4	2	8
0.317	17	         FT8	2	8
1.966	18	          C4	2	8
1.792	19	         CP3	2	8
-0.727	20	         TP7	2	8
-0.526	21	          LM	2	8
1.986	22	          P3	2	8
-0.154	23	          P7	2	8
0.534	24	          O1	2	8
1.794	25	         CP4	2	8
0.413	26	         TP8	2	8
0.526	27	          RM	2	8
2.817	28	          P4	2	8
3.486	29	          P8	2	8
1.727	30	          O2	2	8
-2.421	31	        HEOG	2	8
-3.942	32	        VEOG	2	8
-2.693	33	         NAZ	2	8
0.212	34	         FPz	2	8
1.363	35	         AFz	2	8
2.509	36	         POZ	2	8
1.122	37	         AF3	2	8
0.696	38	         AF7	2	8
1.703	39	          F1	2	8
-1.938	40	          F5	2	8
1.659	41	         FC1	2	8
0.892	42	         FC5	2	8
1.659	43	          C1	2	8
1.04	44	          C5	2	8
1.093	45	         AF4	2	8
1.089	46	         AF8	2	8
1.614	47	          F2	2	8
1.258	48	          F6	2	8
1.661	49	         FC2	2	8
0.853	50	         FC6	2	8
1.941	51	          C2	2	8
1.074	52	          C6	2	8
2.263	53	         CP1	2	8
1.132	54	         CP5	2	8
3.325	55	          P1	2	8
0.981	56	          P5	2	8
1.855	57	         PO3	2	8
-0.122	58	         PO7	2	8
2.481	59	         CP2	2	8
2.873	60	         CP6	2	8
2.755	61	          P2	2	8
3.458	62	          P6	2	8
1.786	63	         PO4	2	8
1.426	64	         PO8	2	8
4.583	1	          Fz	1	9
4.771	2	         FCz	1	9
5.644	3	          Cz	1	9
6.378	4	         CPz	1	9
4.682	5	          Pz	1	9
0.179	6	          Oz	1	9
3.321	7	         FP1	1	9
3.59	8	          F3	1	9
1.806	9	          F7	1	9
3.759	10	         FC3	1	9
1.661	11	         FT7	1	9
4.076	12	          C3	1	9
3.891	13	         FP2	1	9
4.656	14	          F4	1	9
3.928	15	          F8	1	9
4.919	16	         FC4	1	9
4.114	17	         FT8	1	9
5.769	18	          C4	1	9
3.834	19	         CP3	1	9
0.492	20	         TP7	1	9
-1.098	21	          LM	1	9
2.507	22	          P3	1	9
-0.998	23	          P7	1	9
-1.099	24	          O1	1	9
6.313	25	         CP4	1	9
2.596	26	         TP8	1	9
1.098	27	          RM	1	9
3.875	28	          P4	1	9
1.198	29	          P8	1	9
0.343	30	          O2	1	9
9.344	31	        HEOG	1	9
4.833	32	        VEOG	1	9
3.779	33	         NAZ	1	9
4.334	34	         FPz	1	9
4.21	35	         AFz	1	9
1.773	36	         POZ	1	9
3.419	37	         AF3	1	9
2.364	38	         AF7	1	9
4.127	39	          F1	1	9
2.612	40	          F5	1	9
4.467	41	         FC1	1	9
2.874	42	         FC5	1	9
5.374	43	          C1	1	9
2.608	44	          C5	1	9
4.401	45	         AF4	1	9
4.283	46	         AF8	1	9
4.615	47	          F2	1	9
4.541	48	          F6	1	9
4.637	49	         FC2	1	9
4.739	50	         FC6	1	9
5.749	51	          C2	1	9
4.772	52	          C6	1	9
5.812	53	         CP1	1	9
2.097	54	         CP5	1	9
3.872	55	          P1	1	9
0.245	56	          P5	1	9
0.57	57	         PO3	1	9
-1.917	58	         PO7	1	9
6.569	59	         CP2	1	9
4.39	60	         CP6	1	9
4.669	61	          P2	1	9
2.704	62	          P6	1	9
1.719	63	         PO4	1	9
0.721	64	         PO8	1	9
2.359	1	          Fz	2	9
2.49	2	         FCz	2	9
2.941	3	          Cz	2	9
3.451	4	         CPz	2	9
2.232	5	          Pz	2	9
-0.511	6	          Oz	2	9
1.974	7	         FP1	2	9
1.541	8	          F3	2	9
